geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_12001,316.0,231.0,26.9,4.889307574387402,102.0,67.72,5.155107994841719
#_12003,4.0,2.0,50.0,49.0,2.0,50.0,49.0
#_12005,811.0,556.0,31.44,3.1953785637266896,289.0,64.36,3.2962679641590586
#_12007,23.0,14.0,39.13,19.945674537036627,6.0,73.91,17.946542594290847
#_12009,2630.0,2000.0,23.95,1.6310999153455632,814.0,69.05,1.7668121015776885
#_12011,2210.0,1385.0,37.33,2.0165954214985833,697.0,68.46,1.9373550824729346
#_12013,84.0,47.0,44.05,10.616697179443332,31.0,63.1,10.3191586866372
#_12015,71.0,42.0,40.85,11.434055657933996,18.0,74.65,10.118841304819076
#_12017,44.0,34.0,22.73,12.383257593291765,11.0,75.0,12.794707712743792
#_12019,111.0,64.0,42.34,9.19194311087234,37.0,66.67,8.769553185819612
#_12021,359.0,280.0,22.01,4.285863434731666,192.0,46.52,5.159699384303201
#_12023,123.0,52.0,57.72,8.73040048185984,18.0,85.37,6.245659725455658
#_12027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_12029,38.0,20.0,47.37,15.875691478483699,2.0,94.74,7.09780126785012
#_12031,2889.0,1152.0,60.12,1.7855390849266288,745.0,74.21,1.5952883266298112
#_12033,784.0,559.0,28.7,3.166531067272197,307.0,60.84,3.4167561458201843
#_12035,9.0,8.0,11.11,20.531387474466175,4.0,55.56,32.46406956457144
#_12037,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_12039,259.0,182.0,29.73,5.566582124923112,61.0,76.45,5.1676178525767815
#_12041,16.0,13.0,18.75,19.125306370095096,9.0,43.75,24.307840170405925
#_12043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_12045,108.0,70.0,35.19,9.006889563735825,36.0,66.67,8.890518254360153
